Species	Branch
Bubalus_bubalis	B515
Syncerus_caffer	B516
internal	B517
internal	B518
internal	B519
internal	B520
internal	B521
internal	B522
internal	B523
internal	B524
Hippopotamus_amphibius	B525
Balaena_mysticetus	B526
Eubalaena_glacialis	B527
Eubalaena_australis	B528
Eubalaena_japonica	B529
internal	B530
internal	B531
internal	B532
Balaenoptera_acutorostrata_scammoni	B533
Balaenoptera_bonaerensis	B534
internal	B535
Eschrichtius_robustus	B536
Megaptera_novaeangliae	B537
Balaenoptera_edeni	B538
Balaenoptera_musculus	B539
internal	B540
internal	B541
internal	B542
internal	B543
internal	B544
Kogia_breviceps	B545
Physeter_catodon	B546
internal	B547
Platanista_minor	B548
Mesoplodon_densirostris	B549
Mesoplodon_stejnegeri	B550
internal	B551
Mesoplodon_bidens	B552
Mesoplodon_europaeus	B553
internal	B554
internal	B555
Inia_geoffrensis	B556
Lipotes_vexillifer	B557
internal	B558
Delphinapterus_leucas	B559
Monodon_monoceros	B560
internal	B561
Neophocaena_asiaeorientalis_asiaeorientalis	B562
Phocoena_sinus	B563
Phocoena_phocoena	B564
internal	B565
internal	B566
internal	B567
Orcinus_orca	B568
Cephalorhynchus_commersonii	B569
Lagenorhynchus_obliquidens	B570
internal	B571
Sousa_chinensis	B572
Tursiops_aduncus	B573
Tursiops_truncatus	B574
internal	B575
internal	B576
Steno_bredanensis	B577
Grampus_griseus	B578
Globicephala_melas	B579
Peponocephala_electra	B580
internal	B581
internal	B582
internal	B583
internal	B584
internal	B585
internal	B586
internal	B587
internal	B588
internal	B589
internal	B590
internal	B591
internal	B592
internal	B593
internal	B594
internal	B595
internal	B596
internal	B597
internal	B598
internal	B599
internal	B600
internal	B601
